received_date,channel,customer_type,content,rating,status,action
"2025-11-06","旅行会社・団体","団体","団体の朝食時間が一般のお客様と重なり、会場が混雑したと添乗員さんからご指摘。","","完了","団体の朝食時間を分ける運用にした。"
"2025-11-12","旅行会社・団体","団体","部屋割りの連絡に行き違いがあったと旅行会社からご指摘。","","完了","予約情報の引き継ぎ方法を見直した。"
"2025-11-13","アンケート","家族","朝食の地元野菜のビュッフェがおいしかった。だし巻き卵が特に好評。","5","完了","スタッフ全員に共有した。"
"2025-11-21","電話・メール","家族","電話がなかなかつながらなかったとのご指摘。","","完了","朝礼で共有し、案内の手順を見直した。"
"2025-11-21","電話・メール","家族","滞在中のスタッフの対応がよかったというお礼のメール。","","完了","スタッフ全員に共有した。"
"2025-11-22","フロント","訪日外国人","朝食のだし巻き卵の作り方を聞かれた。とても気に入ったとのこと。","","完了","スタッフ全員に共有した。"
"2025-11-23","フロント","ビジネス","朝食会場が満席で入れなかったとのご不満。","","完了","朝食の補充のタイミングを見直した。"
"2025-12-06","アンケート","家族","チェックアウト後の荷物預かりが助かった。","5","完了","スタッフ全員に共有した。"
"2025-12-11","アンケート","ビジネス","駐車場の入口が分かりにくかった。","1","完了","案内表示を追加した。"
"2025-12-15","アンケート","ビジネス","チェックインの説明が早口で分かりにくかった。","1","完了","予約情報の引き継ぎ方法を見直した。"
"2025-12-19","アンケート","個人・カップル","部屋が乾燥していて、のどが痛くなった。","","完了","設備担当が点検し、部品を交換した。"
"2025-12-19","旅行会社・団体","団体","団体向けの朝食の準備がスムーズだったと旅行会社から好評。","","完了","スタッフ全員に共有した。"
"2025-12-20","フロント","訪日外国人","朝食会場が満席で入れなかったとのご不満。","","完了","朝食の補充のタイミングを見直した。"
"2025-12-25","旅行会社・団体","団体","部屋割りの連絡に行き違いがあったと旅行会社からご指摘。","3","完了","朝礼で共有し、案内の手順を見直した。"
"2025-12-26","フロント","訪日外国人","チェックインの待ち時間が長いとのご不満。","","完了","担当者から直接お詫びの連絡をした。"
"2025-12-26","フロント","ビジネス","暖房が弱く寒いとのお申し出。毛布を追加でお渡し。","","完了","客室の点検項目に追加した。"
"2025-12-31","アンケート","ビジネス","部屋が乾燥していて、のどが痛くなった。","","完了","客室の点検項目に追加した。"
"2026-01-08","フロント","ビジネス","オンライン会議の途中でWi-Fiが切れたとのご指摘。","","対応中","ルーターの再起動と設定の見直しを行った。"
"2026-01-15","電話・メール","個人・カップル","電話がなかなかつながらなかったとのご指摘。","","完了","予約情報の引き継ぎ方法を見直した。"
"2026-01-16","電話・メール","ビジネス","滞在中のスタッフの対応がよかったというお礼のメール。","","完了","スタッフ全員に共有した。"
"2026-01-17","アンケート","家族","駐車場の入口が分かりにくかった。","1","完了","対応済み。"
"2026-01-20","フロント","訪日外国人","朝食会場が満席で入れなかったとのご不満。","","完了","朝食の補充のタイミングを見直した。"
"2026-01-22","旅行会社・団体","団体","団体の朝食時間が一般のお客様と重なり、会場が混雑したと添乗員さんからご指摘。","","完了","団体の朝食時間を分ける運用にした。"
"2026-01-22","アンケート","家族","Wi-Fiが夜になると遅くなった。","1","完了","Wi-Fiの中継機の増設を検討中。"
"2026-01-22","アンケート","家族","Wi-Fiが夜になると遅くなった。","1","完了","Wi-Fiの中継機の増設を検討中。"
"2026-01-27","アンケート","個人・カップル","朝食の時間が9時半までだと早い。10時までにしてほしい。","3","完了","朝食の補充のタイミングを見直した。"
"2026-02-06","アンケート","訪日外国人","浴室の排水が遅く、シャワー中に水がたまった。","2","完了","設備担当が点検し、部品を交換した。"
"2026-02-11","フロント","ビジネス","近くのおすすめの飲食店を聞かれ、案内した。","","完了","スタッフ全員に共有した。"
"2026-02-16","電話・メール","ビジネス","朝食の品切れが多かったとのご意見（メール）。","2","完了","団体の朝食時間を分ける運用にした。"
"2026-02-19","アンケート","個人・カップル","チェックインの説明が早口で分かりにくかった。","","完了","担当者から直接お詫びの連絡をした。"
"2026-02-21","旅行会社・団体","訪日外国人","ロビーでのWi-Fiが混み合って遅いと添乗員さんからご指摘。","","完了","回線業者に速度の調査を依頼した。"
"2026-02-22","フロント","個人・カップル","朝食のだし巻き卵の作り方を聞かれた。とても気に入ったとのこと。","","完了","スタッフ全員に共有した。"
"2026-02-25","フロント","個人・カップル","チェックインの待ち時間が長いとのご不満。","","完了","担当者から直接お詫びの連絡をした。"
"2026-02-27","電話・メール","ビジネス","朝食の品切れが多かったとのご意見（メール）。","","完了","団体の朝食時間を分ける運用にした。"
"2026-03-02","フロント","訪日外国人","近くのおすすめの飲食店を聞かれ、案内した。","","完了","スタッフ全員に共有した。"
"2026-03-04","電話・メール","個人・カップル","宿泊中にWi-Fiが何度も切れて仕事にならなかったとのご意見（メール）。","3","対応中","ルーターの再起動と設定の見直しを行った。"
"2026-03-07","フロント","家族","朝食のだし巻き卵の作り方を聞かれた。とても気に入ったとのこと。","","完了","スタッフ全員に共有した。"
"2026-03-17","アンケート","家族","朝食の地元野菜のビュッフェがおいしかった。だし巻き卵が特に好評。","4","完了","スタッフ全員に共有した。"
"2026-03-20","電話・メール","家族","忘れ物の問い合わせ。保管していたため着払いで発送。","4","完了","スタッフ全員に共有した。"
"2026-03-23","電話・メール","ビジネス","宿泊中にWi-Fiが何度も切れて仕事にならなかったとのご意見（メール）。","","完了","ルーターの再起動と設定の見直しを行った。"
"2026-03-29","アンケート","家族","フロントの方の笑顔と周辺のおすすめ案内がよかった。","","完了","スタッフ全員に共有した。"
"2026-03-31","電話・メール","ビジネス","朝食の品切れが多かったとのご意見（メール）。","","完了","団体の朝食時間を分ける運用にした。"
"2026-04-06","旅行会社・団体","団体","ロビーでのWi-Fiが混み合って遅いと添乗員さんからご指摘。","","完了","Wi-Fiの中継機の増設を検討中。"
"2026-04-06","アンケート","家族","朝食の時間が9時半までだと早い。10時までにしてほしい。","3","完了","朝食の補充のタイミングを見直した。"
"2026-04-07","電話・メール","個人・カップル","滞在中のスタッフの対応がよかったというお礼のメール。","","完了","スタッフ全員に共有した。"
"2026-04-09","電話・メール","個人・カップル","滞在中のスタッフの対応がよかったというお礼のメール。","","完了","スタッフ全員に共有した。"
"2026-04-12","アンケート","ビジネス","Wi-Fiが夜になると遅くなった。","2","対応中","Wi-Fiの中継機の増設を検討中。"
"2026-04-15","フロント","ビジネス","昨日の案内がとても分かりやすかったと、わざわざお礼を言いに来られた。","","完了","スタッフ全員に共有した。"
"2026-04-17","アンケート","個人・カップル","朝食の時間が9時半までだと早い。10時までにしてほしい。","2","完了","団体の朝食時間を分ける運用にした。"
"2026-04-20","アンケート","家族","チェックインの説明が早口で分かりにくかった。","2","完了","朝礼で共有し、案内の手順を見直した。"
"2026-04-20","アンケート","ビジネス","フロントの方の笑顔と周辺のおすすめ案内がよかった。","5","完了","スタッフ全員に共有した。"
"2026-04-28","フロント","個人・カップル","朝食のだし巻き卵の作り方を聞かれた。とても気に入ったとのこと。","","完了","スタッフ全員に共有した。"
"2026-04-30","アンケート","訪日外国人","駐車場の入口が分かりにくかった。","2","完了","対応済み。"
"2026-05-02","フロント","ビジネス","昨日の案内がとても分かりやすかったと、わざわざお礼を言いに来られた。","","完了","スタッフ全員に共有した。"
"2026-05-07","アンケート","家族","朝食の地元野菜のビュッフェがおいしかった。だし巻き卵が特に好評。","4","完了","スタッフ全員に共有した。"
"2026-05-08","フロント","家族","冷蔵庫の音がうるさいとのご指摘。","","完了","客室の点検項目に追加した。"
"2026-05-08","電話・メール","家族","予約時に伝えた到着時刻が共有されておらず、確認に時間がかかったとのご意見（メール）。","","完了","予約情報の引き継ぎ方法を見直した。"
"2026-05-14","フロント","個人・カップル","部屋の奥ではWi-Fiが弱いとのお申し出。","","対応中","ルーターの再起動と設定の見直しを行った。"
"2026-05-22","電話・メール","ビジネス","滞在中のスタッフの対応がよかったというお礼のメール。","","完了","スタッフ全員に共有した。"
"2026-05-25","旅行会社・団体","団体","団体向けの朝食の準備がスムーズだったと旅行会社から好評。","","完了","スタッフ全員に共有した。"
"2026-05-28","フロント","個人・カップル","朝食会場が満席で入れなかったとのご不満。","3","完了","朝食の時間延長を検討中。"
"2026-05-29","フロント","個人・カップル","Wi-Fiにつながらないとのご相談。接続手順を案内したが、夜は速度が出ないとのこと。","","完了","ルーターの再起動と設定の見直しを行った。"
"2026-05-29","アンケート","個人・カップル","チェックアウト後の荷物預かりが助かった。","5","完了","スタッフ全員に共有した。"
"2026-06-10","旅行会社・団体","団体","大型バスの乗降場所が分かりにくかったとのご意見。","","完了","案内表示を追加した。"
"2026-06-10","フロント","ビジネス","エアコンが効かないとのお申し出。設備担当が確認。","","完了","該当設備の修理を手配中。"
"2026-06-11","旅行会社・団体","団体","部屋割りの連絡に行き違いがあったと旅行会社からご指摘。","","完了","担当者から直接お詫びの連絡をした。"
"2026-06-18","旅行会社・団体","団体","部屋割りの連絡に行き違いがあったと旅行会社からご指摘。","","対応中","担当者から直接お詫びの連絡をした。"
"2026-06-20","アンケート","ビジネス","朝食の時間が9時半までだと早い。10時までにしてほしい。","2","完了","団体の朝食時間を分ける運用にした。"
"2026-06-20","旅行会社・団体","団体","ロビーでのWi-Fiが混み合って遅いと添乗員さんからご指摘。","","完了","ルーターの再起動と設定の見直しを行った。"
"2026-06-25","旅行会社・団体","団体","大型バスの乗降場所が分かりにくかったとのご意見。","","完了","対応済み。"
"2026-06-25","フロント","家族","朝食のだし巻き卵の作り方を聞かれた。とても気に入ったとのこと。","","完了","スタッフ全員に共有した。"
"2026-06-29","アンケート","個人・カップル","ラウンジのコーヒーが無料でうれしい。夕方にゆっくりできた。","","完了","スタッフ全員に共有した。"
"2026-07-03","アンケート","その他","フロントの方の笑顔と周辺のおすすめ案内がよかった。","5","完了","スタッフ全員に共有した。"
"2026-07-06","アンケート","家族","ベッドが快適でよく眠れた。部屋も清潔だった。","4","完了","スタッフ全員に共有した。"
"2026-07-13","アンケート","訪日外国人","朝食の地元野菜のビュッフェがおいしかった。だし巻き卵が特に好評。","4","完了","スタッフ全員に共有した。"
"2026-07-16","フロント","ビジネス","部屋の奥ではWi-Fiが弱いとのお申し出。","","対応中","回線業者に速度の調査を依頼した。"
"2026-07-17","アンケート","家族","ラウンジのコーヒーが無料でうれしい。夕方にゆっくりできた。","4","対応中","スタッフ全員に共有した。"
"2026-07-22","旅行会社・団体","訪日外国人","大型バスの乗降場所が分かりにくかったとのご意見。","","完了","案内表示を追加した。"
"2026-07-26","旅行会社・団体","団体","ロビーでのWi-Fiが混み合って遅いと添乗員さんからご指摘。","","完了","Wi-Fiの中継機の増設を検討中。"
"2026-07-29","電話・メール","個人・カップル","領収書の宛名変更の依頼。","","完了","スタッフ全員に共有した。"
"2026-08-02","旅行会社・団体","団体","大型バスの乗降場所が分かりにくかったとのご意見。","","対応中","対応済み。"
"2026-08-05","電話・メール","個人・カップル","電話がなかなかつながらなかったとのご指摘。","","完了","朝礼で共有し、案内の手順を見直した。"
"2026-08-06","アンケート","家族","チェックアウト後の荷物預かりが助かった。","5","完了","スタッフ全員に共有した。"
"2026-08-09","電話・メール","家族","忘れ物の問い合わせ。保管していたため着払いで発送。","","完了","スタッフ全員に共有した。"
"2026-08-14","アンケート","ビジネス","隣の部屋の話し声が聞こえて気になった。","2","完了","該当設備の修理を手配中。"
"2026-08-17","アンケート","家族","朝食の地元野菜のビュッフェがおいしかった。だし巻き卵が特に好評。","5","完了","スタッフ全員に共有した。"
"2026-08-18","アンケート","家族","ラウンジのコーヒーが無料でうれしい。夕方にゆっくりできた。","4","完了","スタッフ全員に共有した。"
"2026-08-20","フロント","その他","Wi-Fiにつながらないとのご相談。接続手順を案内したが、夜は速度が出ないとのこと。","","完了","回線業者に速度の調査を依頼した。"
"2026-08-20","電話・メール","個人・カップル","領収書の宛名変更の依頼。","","完了","スタッフ全員に共有した。"
"2026-08-21","アンケート","ビジネス","チェックインの説明が早口で分かりにくかった。","1","完了","担当者から直接お詫びの連絡をした。"
"2026-08-25","旅行会社・団体","団体","部屋割りの連絡に行き違いがあったと旅行会社からご指摘。","","完了","朝礼で共有し、案内の手順を見直した。"
"2026-09-01","電話・メール","その他","忘れ物の問い合わせ。保管していたため着払いで発送。","","完了","スタッフ全員に共有した。"
"2026-09-04","電話・メール","個人・カップル","予約時に伝えた到着時刻が共有されておらず、確認に時間がかかったとのご意見（メール）。","","完了","予約情報の引き継ぎ方法を見直した。"
"2026-09-05","アンケート","個人・カップル","チェックアウト後の荷物預かりが助かった。","5","完了","スタッフ全員に共有した。"
"2026-09-07","旅行会社・団体","団体","大型バスの乗降場所が分かりにくかったとのご意見。","","完了","対応済み。"
"2026-09-08","フロント","ビジネス","Wi-Fiにつながらないとのご相談。接続手順を案内したが、夜は速度が出ないとのこと。","","完了","Wi-Fiの中継機の増設を検討中。"
"2026-09-09","フロント","個人・カップル","部屋の奥ではWi-Fiが弱いとのお申し出。","","完了","回線業者に速度の調査を依頼した。"
"2026-09-10","フロント","個人・カップル","部屋の奥ではWi-Fiが弱いとのお申し出。","","完了","ルーターの再起動と設定の見直しを行った。"
"2026-09-21","アンケート","家族","フロントの方の笑顔と周辺のおすすめ案内がよかった。","5","完了","スタッフ全員に共有した。"
"2026-09-26","旅行会社・団体","団体","団体向けの朝食の準備がスムーズだったと旅行会社から好評。","","未対応",""
"2026-09-26","フロント","ビジネス","部屋の奥ではWi-Fiが弱いとのお申し出。","","未対応",""
"2026-09-26","アンケート","訪日外国人","朝食の地元野菜のビュッフェがおいしかった。だし巻き卵が特に好評。","4","未対応",""
