date,site,rating,text,stay_type
"2025-09-26","Google",4,"出張で1泊しました。動画も止まらずに見られるくらいWi-Fiが快適でした。","ビジネス"
"2025-09-26","じゃらん",4,"3泊で利用しました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。友人にもすすめたいと思います。","連泊"
"2025-09-27","楽天トラベル",5,"一人旅で1泊しました。デスクと椅子がしっかりしていて、夜の仕事がはかどりました。ラウンジが静かで、読書や作業にちょうど良い空間でした。周辺にコンビニや飲食店が多く、不便はありませんでした。次はもっとゆっくり泊まりたいです。","一人旅"
"2025-09-28","楽天トラベル",4,"家族旅行で1泊しました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。友人にもすすめたいと思います。","家族"
"2025-09-30","じゃらん",5,"子ども2人と家族で泊まりました。アメニティが充実していて、手ぶらでも困りませんでした。急な延泊のお願いにも快く対応していただきました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。友人にもすすめたいと思います。","家族"
"2025-09-30","Google",3,"子ども2人と家族で泊まりました。アメニティが充実していて、手ぶらでも困りませんでした。フロントの対応がそっけなく、質問しづらい雰囲気でした。総合的には満足です。","家族"
"2025-09-30","楽天トラベル",5,"家族旅行で1泊しました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。また利用したいです。","家族"
"2025-10-02","Google",5,"子どもも大喜びでした。","家族"
"2025-10-03","Google",5,"学生時代の友人との旅行で利用しました。加湿空気清浄機があり、乾燥が気になりませんでした。また利用したいです。","友人"
"2025-10-06","楽天トラベル",5,"夫婦で1泊しました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。次はもっとゆっくり泊まりたいです。","カップル"
"2025-10-09","Google",4,"出張で1泊しました。掃除が行き届いていて清潔でした。","ビジネス"
"2025-10-10","楽天トラベル",3,"友人3人で泊まりました。浴室の排水が悪く、シャワー中に水が溜まってしまいました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。フロントの方が近くの飲食店を丁寧に教えてくださいました。総合的には満足です。","友人"
"2025-10-12","じゃらん",5,"だし巻き卵が美味しかったです。","ビジネス"
"2025-10-13","じゃらん",3,"家族旅行で1泊しました。コンセントがベッドから遠く、スマホの充電に不便でした。有線LANも使えたので、大きなファイルの送信も安心でした。","家族"
"2025-10-15","Google",5,"仕事で利用しました。加湿空気清浄機があり、乾燥が気になりませんでした。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-10-16","Google",5,"夫婦で1泊しました。朝食の地元野菜のビュッフェが美味しく、朝から幸せな気分になりました。友人にもすすめたいと思います。","カップル"
"2025-10-16","楽天トラベル",3,"記念日旅行で利用しました。隣の部屋の話し声が聞こえ、夜は少し気になりました。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。","カップル"
"2025-10-20","じゃらん",4,"ラウンジが快適でした。","カップル"
"2025-10-22","楽天トラベル",3,"仕事で利用しました。動画も止まらずに見られるくらいWi-Fiが快適でした。朝食の品切れが多く、補充もなかなかされませんでした。総合的には満足です。","ビジネス"
"2025-10-22","じゃらん",4,"一人旅で1泊しました。加湿空気清浄機があり、乾燥が気になりませんでした。荷物の受け取りや発送もスムーズに手配してもらえました。","一人旅"
"2025-10-22","じゃらん",3,"仕事で利用しました。部屋の設備が全体的に古く、壁紙の汚れが目立ちました。荷物の受け取りや発送もスムーズに手配してもらえました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。総合的には満足です。","ビジネス"
"2025-10-22","Google",4,"仕事で利用しました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。また利用したいです。","ビジネス"
"2025-10-22","楽天トラベル",3,"星3つにしましたが、満足しています。星5は滅多につけない主義なので。","カップル"
"2025-10-23","楽天トラベル",5,"記念日旅行で利用しました。加湿空気清浄機があり、乾燥が気になりませんでした。","カップル"
"2025-10-24","Google",5,"夫婦で1泊しました。窓からの眺めが良く、朝の光が気持ちよかったです。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。港まで歩いて行けるので、散歩が楽しかったです。","カップル"
"2025-10-27","楽天トラベル",3,"夫婦で1泊しました。動画も止まらずに見られるくらいWi-Fiが快適でした。チェックインで30分以上待たされ、説明もありませんでした。改善されればまた利用したいです。","カップル"
"2025-10-29","楽天トラベル",5,"仕事で利用しました。動画も止まらずに見られるくらいWi-Fiが快適でした。フロントの方が近くの飲食店を丁寧に教えてくださいました。駅から歩いて5分ほどで便利な立地でした。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-10-29","楽天トラベル",4,"出張で1泊しました。掃除が行き届いていて清潔でした。Wi-Fiが速く、オンライン会議も途切れずにできました。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-10-29","楽天トラベル",3,"友人3人で泊まりました。隣の部屋の話し声が聞こえ、夜は少し気になりました。動画も止まらずに見られるくらいWi-Fiが快適でした。改善されればまた利用したいです。","友人"
"2025-10-29","じゃらん",4,"夫婦で1泊しました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。友人にもすすめたいと思います。","カップル"
"2025-11-03","楽天トラベル",5,"仕事で利用しました。有線LANも使えたので、大きなファイルの送信も安心でした。フロントの方が近くの飲食店を丁寧に教えてくださいました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。","ビジネス"
"2025-11-04","Google",4,"一人旅で1泊しました。コンセントがベッドから遠く、スマホの充電に不便でした。動画も止まらずに見られるくらいWi-Fiが快適でした。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。総合的には満足です。","一人旅"
"2025-11-07","じゃらん",4,"記念日旅行で利用しました。名物のだし巻き卵が絶品で、思わずおかわりしました。また利用したいです。","カップル"
"2025-11-07","じゃらん",5,"子ども2人と家族で泊まりました。収納が多く、スーツケースを広げたままでも部屋が片付きました。フロントの方が近くの飲食店を丁寧に教えてくださいました。次はもっとゆっくり泊まりたいです。","家族"
"2025-11-09","じゃらん",4,"一人旅で1泊しました。加湿空気清浄機があり、乾燥が気になりませんでした。","一人旅"
"2025-11-09","じゃらん",3,"学生時代の友人との旅行で利用しました。隣の部屋の話し声が聞こえ、夜は少し気になりました。荷物の受け取りや発送もスムーズに手配してもらえました。","友人"
"2025-11-10","じゃらん",4,"出張で1泊しました。掃除が行き届いていて清潔でした。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-11-10","じゃらん",1,"一人旅で1泊しました。部屋の設備が全体的に古く、壁紙の汚れが目立ちました。清掃不要の札を出していたのに部屋に入られていて、驚きました。価格に見合う対応をお願いしたいです。","一人旅"
"2025-11-13","じゃらん",5,"3泊で利用しました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。朝食のメニューが日替わりなので、連泊でも飽きませんでした。また利用したいです。","連泊"
"2025-11-17","じゃらん",2,"土曜の朝、朝食会場が満席で20分以上待ちました。待っている間の案内もなく、ようやく座れたときには温かい料理がほとんど品切れでした。スタッフの方に補充の予定を聞いても「分かりません」との返事で、せっかくの朝食を楽しみにしていたのでがっかりしました。週末だけでも時間帯を分けるなど、工夫をお願いしたいです。","カップル"
"2025-11-21","楽天トラベル",3,"家族旅行で1泊しました。浴室の排水が悪く、シャワー中に水が溜まってしまいました。急な延泊のお願いにも快く対応していただきました。朝食の地元野菜のビュッフェが美味しく、朝から幸せな気分になりました。改善されればまた利用したいです。","家族"
"2025-11-23","Google",4,"仕事で利用しました。収納が多く、スーツケースを広げたままでも部屋が片付きました。Wi-Fiが速く、オンライン会議も途切れずにできました。誕生日だと伝えたら、メッセージカードを用意してくださり感激しました。朝食の温かい料理が冷めていて残念でした。総合的には満足です。","ビジネス"
"2025-11-23","楽天トラベル",4,"一人旅で1泊しました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。また利用したいです。","一人旅"
"2025-11-25","楽天トラベル",3,"子ども2人と家族で泊まりました。ラウンジのテーブルが片付いておらず、使いにくかったです。改善を期待しています。","家族"
"2025-11-25","Google",5,"出張で1泊しました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。荷物の受け取りや発送もスムーズに手配してもらえました。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-11-26","じゃらん",5,"一人旅で1泊しました。動画も止まらずに見られるくらいWi-Fiが快適でした。次はもっとゆっくり泊まりたいです。","一人旅"
"2025-11-26","楽天トラベル",5,"仕事で利用しました。加湿空気清浄機があり、乾燥が気になりませんでした。動画も止まらずに見られるくらいWi-Fiが快適でした。また利用したいです。","ビジネス"
"2025-11-27","楽天トラベル",5,"出張で1泊しました。加湿空気清浄機があり、乾燥が気になりませんでした。動画も止まらずに見られるくらいWi-Fiが快適でした。急な延泊のお願いにも快く対応していただきました。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-11-29","じゃらん",4,"子ども2人と家族で泊まりました。フロントの方が近くの飲食店を丁寧に教えてくださいました。","家族"
"2025-11-29","楽天トラベル",4,"家族旅行で1泊しました。窓からの眺めが良く、朝の光が気持ちよかったです。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。次はもっとゆっくり泊まりたいです。","家族"
"2025-12-01","じゃらん",4,"2泊で利用しました。朝食の地元野菜のビュッフェが美味しく、朝から幸せな気分になりました。友人にもすすめたいと思います。","連泊"
"2025-12-01","じゃらん",3,"一人旅で1泊しました。掃除が行き届いていて清潔でした。動画を見ようとしたら読み込みが止まってばかりでした。港まで歩いて行けるので、散歩が楽しかったです。改善されればまた利用したいです。","一人旅"
"2025-12-07","Google",4,"夫婦で1泊しました。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。また利用したいです。","カップル"
"2025-12-07","楽天トラベル",5,"快適に過ごせました。","一人旅"
"2025-12-08","じゃらん",5,"出張で1泊しました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-12-10","楽天トラベル",3,"仕事で利用しました。浴室の排水が悪く、シャワー中に水が溜まってしまいました。誕生日だと伝えたら、メッセージカードを用意してくださり感激しました。名物のだし巻き卵が絶品で、思わずおかわりしました。総合的には満足です。","ビジネス"
"2025-12-10","楽天トラベル",3,"学生時代の友人との旅行で利用しました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。ラウンジの利用時間が短く、夕食後に寄ったら閉まっていました。総合的には満足です。","友人"
"2025-12-10","Google",4,"とても良かったです！","家族"
"2025-12-11","Google",4,"3泊で利用しました。荷物の受け取りや発送もスムーズに手配してもらえました。また利用したいです。","連泊"
"2025-12-13","楽天トラベル",4,"夫婦で1泊しました。有線LANも使えたので、大きなファイルの送信も安心でした。友人にもすすめたいと思います。","カップル"
"2025-12-13","Google",5,"仕事で利用しました。収納が多く、スーツケースを広げたままでも部屋が片付きました。Wi-Fiが速く、オンライン会議も途切れずにできました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。友人にもすすめたいと思います。","ビジネス"
"2025-12-14","楽天トラベル",5,"子ども2人と家族で泊まりました。アメニティが充実していて、手ぶらでも困りませんでした。フロントの方が近くの飲食店を丁寧に教えてくださいました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。次はもっとゆっくり泊まりたいです。","家族"
"2025-12-15","楽天トラベル",5,"子ども2人と家族で泊まりました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。急な延泊のお願いにも快く対応していただきました。名物のだし巻き卵が絶品で、思わずおかわりしました。友人にもすすめたいと思います。","家族"
"2025-12-16","楽天トラベル",3,"子ども2人と家族で泊まりました。ベッドの寝心地が良く、朝までぐっすり眠れました。フロントの対応がそっけなく、質問しづらい雰囲気でした。","家族"
"2025-12-16","じゃらん",3,"子ども2人と家族で泊まりました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。チェックインで30分以上待たされ、説明もありませんでした。総合的には満足です。","家族"
"2025-12-23","楽天トラベル",3,"夫婦で1泊しました。隣の部屋の話し声が聞こえ、夜は少し気になりました。周辺にコンビニや飲食店が多く、不便はありませんでした。改善を期待しています。","カップル"
"2025-12-24","楽天トラベル",5,"夫婦で1泊しました。加湿空気清浄機があり、乾燥が気になりませんでした。朝食の地元野菜のビュッフェが美味しく、朝から幸せな気分になりました。友人にもすすめたいと思います。","カップル"
"2025-12-25","じゃらん",5,"子ども2人と家族で泊まりました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。次はもっとゆっくり泊まりたいです。","家族"
"2025-12-28","じゃらん",5,"仕事で利用しました。加湿空気清浄機があり、乾燥が気になりませんでした。Wi-Fiが速く、オンライン会議も途切れずにできました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。次はもっとゆっくり泊まりたいです。","ビジネス"
"2025-12-29","楽天トラベル",5,"子ども2人と家族で泊まりました。掃除が行き届いていて清潔でした。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。駐車場が狭く、大きな車だと停めにくかったです。また利用したいです。","家族"
"2025-12-30","じゃらん",4,"部屋は正直古いです。でもフロントの方がとても親切で、それだけでまた来たいと思えました。","一人旅"
"2025-12-31","じゃらん",3,"子ども2人と家族で泊まりました。窓の結露がひどく、カーテンが湿っていました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。改善されればまた利用したいです。","家族"
"2026-01-01","Google",5,"記念日旅行で利用しました。動画も止まらずに見られるくらいWi-Fiが快適でした。次はもっとゆっくり泊まりたいです。","カップル"
"2026-01-01","Google",5,"出張で1泊しました。窓からの眺めが良く、朝の光が気持ちよかったです。周辺にコンビニや飲食店が多く、不便はありませんでした。次はもっとゆっくり泊まりたいです。","ビジネス"
"2026-01-03","Google",5,"Wi-Fiが速くて助かりました。","家族"
"2026-01-03","楽天トラベル",5,"大変親切な接客でした。","ビジネス"
"2026-01-05","Google",5,"夫婦で1泊しました。Wi-Fiが速く、オンライン会議も途切れずにできました。また利用したいです。","カップル"
"2026-01-06","Google",5,"2泊で利用しました。掃除が行き届いていて清潔でした。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。友人にもすすめたいと思います。","連泊"
"2026-01-07","Google",5,"一人旅で1泊しました。加湿空気清浄機があり、乾燥が気になりませんでした。動画も止まらずに見られるくらいWi-Fiが快適でした。ラウンジが静かで、読書や作業にちょうど良い空間でした。友人にもすすめたいと思います。","一人旅"
"2026-01-10","じゃらん",4,"コスパは最高。ただ、次は冬以外に来ます。","一人旅"
"2026-01-11","楽天トラベル",3,"夫婦で1泊しました。隣の部屋の話し声が聞こえ、夜は少し気になりました。荷物の受け取りや発送もスムーズに手配してもらえました。","カップル"
"2026-01-14","じゃらん",3,"家族旅行で1泊しました。夜間はスタッフが一人だけのようで、対応を頼んでも1時間近く待ちました。","家族"
"2026-01-19","楽天トラベル",4,"友人3人で泊まりました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。友人にもすすめたいと思います。","友人"
"2026-01-22","じゃらん",3,"学生時代の友人との旅行で利用しました。浴室の排水が悪く、シャワー中に水が溜まってしまいました。動画も止まらずに見られるくらいWi-Fiが快適でした。改善されればまた利用したいです。","友人"
"2026-01-23","Google",5,"仕事で利用しました。有線LANも使えたので、大きなファイルの送信も安心でした。朝食の地元野菜のビュッフェが美味しく、朝から幸せな気分になりました。周辺にコンビニや飲食店が多く、不便はありませんでした。また利用したいです。","ビジネス"
"2026-01-23","Google",2,"予約時に伝えていた到着の遅れが共有されておらず、夜11時に到着したところ「本日はご予約がありません」と言われました。確認していただいた結果、予約は見つかりましたが、その間30分ほどロビーで待たされ、疲れていたこともありとても不安でした。翌朝支配人の方から直接お詫びがあり、その誠実な対応には感謝していますが、同じことが起きないようにしていただきたいです。","ビジネス"
"2026-01-24","Google",4,"2泊で利用しました。ラウンジが静かで、読書や作業にちょうど良い空間でした。次はもっとゆっくり泊まりたいです。","連泊"
"2026-01-25","Google",4,"記念日旅行で利用しました。有線LANも使えたので、大きなファイルの送信も安心でした。ラウンジが静かで、読書や作業にちょうど良い空間でした。友人にもすすめたいと思います。","カップル"
"2026-01-26","Google",4,"子ども2人と家族で泊まりました。収納が多く、スーツケースを広げたままでも部屋が片付きました。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。また利用したいです。","家族"
"2026-01-26","Google",5,"仕事で利用しました。有線LANも使えたので、大きなファイルの送信も安心でした。ラウンジが静かで、読書や作業にちょうど良い空間でした。また利用したいです。","ビジネス"
"2026-01-28","じゃらん",3,"仕事で利用しました。暖房の効きが悪く、夜は少し寒かったです。Wi-Fiが速く、オンライン会議も途切れずにできました。名物のだし巻き卵が絶品で、思わずおかわりしました。改善されればまた利用したいです。","ビジネス"
"2026-01-28","楽天トラベル",5,"家族旅行で1泊しました。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。また利用したいです。","家族"
"2026-01-29","じゃらん",5,"出張で1泊しました。ベッドの寝心地が良く、朝までぐっすり眠れました。Wi-Fiが速く、オンライン会議も途切れずにできました。また利用したいです。","ビジネス"
"2026-01-29","じゃらん",4,"一人旅で1泊しました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。駐車場が狭く、大きな車だと停めにくかったです。また利用したいです。","一人旅"
"2026-01-30","Google",5,"学生時代の友人との旅行で利用しました。窓からの眺めが良く、朝の光が気持ちよかったです。動画も止まらずに見られるくらいWi-Fiが快適でした。急な延泊のお願いにも快く対応していただきました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。友人にもすすめたいと思います。","友人"
"2026-02-01","Google",3,"出張で1泊しました。有線LANも使えたので、大きなファイルの送信も安心でした。朝食の品切れが多く、補充もなかなかされませんでした。総合的には満足です。","ビジネス"
"2026-02-02","楽天トラベル",3,"家族旅行で1泊しました。予約内容が伝わっておらず、チェックイン時にもう一度説明する必要がありました。改善を期待しています。","家族"
"2026-02-02","楽天トラベル",3,"学生時代の友人との旅行で利用しました。収納が多く、スーツケースを広げたままでも部屋が片付きました。チェックインで30分以上待たされ、説明もありませんでした。改善されればまた利用したいです。","友人"
"2026-02-03","Google",3,"朝食は普通。部屋も普通。可もなく不可もなく。","ビジネス"
"2026-02-05","楽天トラベル",5,"子ども2人と家族で泊まりました。ベッドの寝心地が良く、朝までぐっすり眠れました。体調を崩した際、すぐに近くの薬局を調べてくださり助かりました。周辺にコンビニや飲食店が多く、不便はありませんでした。友人にもすすめたいと思います。","家族"
"2026-02-05","楽天トラベル",5,"仕事で利用しました。Wi-Fiが速く、オンライン会議も途切れずにできました。急な延泊のお願いにも快く対応していただきました。次はもっとゆっくり泊まりたいです。","ビジネス"
"2026-02-06","楽天トラベル",4,"2泊で利用しました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。","連泊"
"2026-02-08","Google",4,"一人旅で1泊しました。Wi-Fiが速く、オンライン会議も途切れずにできました。次はもっとゆっくり泊まりたいです。","一人旅"
"2026-02-08","じゃらん",4,"家族旅行で1泊しました。Wi-Fiが速く、オンライン会議も途切れずにできました。","家族"
"2026-02-08","じゃらん",5,"家族旅行で1泊しました。有線LANも使えたので、大きなファイルの送信も安心でした。ラウンジが静かで、読書や作業にちょうど良い空間でした。友人にもすすめたいと思います。","家族"
"2026-02-14","楽天トラベル",5,"出張で1泊しました。ベッドの寝心地が良く、朝までぐっすり眠れました。有線LANも使えたので、大きなファイルの送信も安心でした。誕生日だと伝えたら、メッセージカードを用意してくださり感激しました。ラウンジが静かで、読書や作業にちょうど良い空間でした。友人にもすすめたいと思います。","ビジネス"
"2026-02-15","じゃらん",4,"仕事で利用しました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。友人にもすすめたいと思います。","ビジネス"
"2026-02-15","Google",5,"子ども2人と家族で泊まりました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。また利用したいです。","家族"
"2026-02-15","楽天トラベル",5,"また出張で使います。","ビジネス"
"2026-02-16","じゃらん",4,"ありがとうございました。","ビジネス"
"2026-02-20","楽天トラベル",5,"家族旅行で1泊しました。Wi-Fiが速く、オンライン会議も途切れずにできました。名物のだし巻き卵が絶品で、思わずおかわりしました。港まで歩いて行けるので、散歩が楽しかったです。","家族"
"2026-02-25","じゃらん",3,"家族旅行で1泊しました。有線LANも使えたので、大きなファイルの送信も安心でした。清掃不要の札を出していたのに部屋に入られていて、驚きました。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。総合的には満足です。","家族"
"2026-02-25","楽天トラベル",4,"仕事で利用しました。アメニティが充実していて、手ぶらでも困りませんでした。","ビジネス"
"2026-02-28","じゃらん",5,"学生時代の友人との旅行で利用しました。アメニティが充実していて、手ぶらでも困りませんでした。チェックアウト後も荷物を預かっていただき、身軽に観光できました。夕方のラウンジで地元のクラフトビールが飲めるのが良かったです。友人にもすすめたいと思います。","友人"
"2026-02-28","Google",5,"学生時代の友人との旅行で利用しました。掃除が行き届いていて清潔でした。ラウンジの無料コーヒーが美味しく、観光の合間にほっとできました。駅から歩いて5分ほどで便利な立地でした。次はもっとゆっくり泊まりたいです。","友人"
"2026-03-01","楽天トラベル",4,"一人旅で1泊しました。掃除が行き届いていて清潔でした。チェックアウト後も荷物を預かっていただき、身軽に観光できました。朝食会場が混雑していて、席が空くまで15分ほど待ちました。駅から歩いて5分ほどで便利な立地でした。総合的には満足です。","一人旅"
"2026-03-02","楽天トラベル",5,"記念日旅行で利用しました。動画も止まらずに見られるくらいWi-Fiが快適でした。また利用したいです。","カップル"
"2026-03-02","楽天トラベル",3,"3泊で利用しました。窓からの眺めが良く、朝の光が気持ちよかったです。ラウンジのテーブルが片付いておらず、使いにくかったです。","連泊"
"2026-03-03","じゃらん",4,"一人旅で1泊しました。ベッドの寝心地が良く、朝までぐっすり眠れました。ラウンジが静かで、読書や作業にちょうど良い空間でした。友人にもすすめたいと思います。","一人旅"
"2026-03-03","楽天トラベル",5,"また出張で使います。","ビジネス"
"2026-03-03","じゃらん",2,"チェックイン後に部屋へ入ると、タオルが1人分足りず、ゴミ箱には前のお客さんのゴミが残っていました。フロントに伝えると「確認します」と言われたまま連絡がなく、結局自分で取りに行きました。夜にもう一度お願いしたところ、別のスタッフの方が丁寧に謝ってくださり、すぐに対応していただけましたが、最初の対応で不信感が残りました。部屋自体は広くて使いやすかっただけに、残念です。","家族"
"2026-03-04","楽天トラベル",2,"記念日旅行で利用しました。冷蔵庫の音が大きく、なかなか寝付けませんでした。部屋の奥だとWi-Fiが届きにくく、テザリングで対応しました。価格に見合う対応をお願いしたいです。","カップル"
"2026-03-06","じゃらん",3,"家族旅行で1泊しました。浴室の排水が悪く、シャワー中に水が溜まってしまいました。有線LANも使えたので、大きなファイルの送信も安心でした。改善されればまた利用したいです。","家族"
"2026-03-08","楽天トラベル",5,"学生時代の友人との旅行で利用しました。朝食の地元野菜のビュッフェが美味しく、朝から幸せな気分になりました。次はもっとゆっくり泊まりたいです。","友人"
"2026-03-08","楽天トラベル",4,"夫婦で1泊しました。収納が多く、スーツケースを広げたままでも部屋が片付きました。次はもっとゆっくり泊まりたいです。","カップル"
"2026-03-09","楽天トラベル",3,"仕事で利用しました。ドライヤーの風が弱く、髪を乾かすのに時間がかかりました。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。総合的には満足です。","ビジネス"
"2026-03-10","Google",4,"スタッフの皆さんの笑顔に癒されました。","ビジネス"
"2026-03-14","楽天トラベル",5,"子ども2人と家族で泊まりました。窓からの眺めが良く、朝の光が気持ちよかったです。ラウンジが静かで、読書や作業にちょうど良い空間でした。次はもっとゆっくり泊まりたいです。","家族"
"2026-03-15","Google",4,"出張で1泊しました。Wi-Fiが速く、オンライン会議も途切れずにできました。次はもっとゆっくり泊まりたいです。","ビジネス"
"2026-03-15","じゃらん",5,"静かでよく眠れました。","連泊"
"2026-03-16","Google",3,"夫婦で1泊しました。コンセントがベッドから遠く、スマホの充電に不便でした。誕生日だと伝えたら、メッセージカードを用意してくださり感激しました。総合的には満足です。","カップル"
"2026-03-16","楽天トラベル",4,"夫婦で1泊しました。ベッドの寝心地が良く、朝までぐっすり眠れました。","カップル"
"2026-03-18","じゃらん",5,"学生時代の友人との旅行で利用しました。アメニティが充実していて、手ぶらでも困りませんでした。動画も止まらずに見られるくらいWi-Fiが快適でした。フロントの方が近くの飲食店を丁寧に教えてくださいました。友人にもすすめたいと思います。","友人"
"2026-03-19","Google",5,"子どもも大喜びでした。","家族"
"2026-03-24","Google",3,"子ども2人と家族で泊まりました。Wi-Fiのパスワードが分かりにくく、つなぐまでに時間がかかりました。","家族"
"2026-03-24","Google",5,"2泊で利用しました。加湿空気清浄機があり、乾燥が気になりませんでした。部屋でもラウンジでもWi-Fiが安定していて、仕事に集中できました。名物のだし巻き卵が絶品で、思わずおかわりしました。","連泊"
"2026-03-28","Google",5,"家族旅行で1泊しました。部屋が広く、家族4人でもゆったり過ごせました。朝食の地元野菜のビュッフェが美味しく、朝から幸せな気分になりました。また利用したいです。","家族"
"2026-03-29","じゃらん",5,"記念日旅行で利用しました。有線LANも使えたので、大きなファイルの送信も安心でした。チェックアウト後も荷物を預かっていただき、身軽に観光できました。友人にもすすめたいと思います。","カップル"
"2026-03-30","Google",5,"仕事で利用しました。掃除が行き届いていて清潔でした。有線LANも使えたので、大きなファイルの送信も安心でした。","ビジネス"
"2026-03-31","楽天トラベル",4,"学生時代の友人との旅行で利用しました。ベッドの寝心地が良く、朝までぐっすり眠れました。チェックアウト後も荷物を預かっていただき、身軽に観光できました。ラウンジのテーブルが片付いておらず、使いにくかったです。改善されればまた利用したいです。","友人"
